,Aggregator,Model,Parameters,Learning rate,Test loss,Eval loss 1,Eval loss 2,Eval loss 3,Eval loss 4,Eval loss 5,Eval loss 6,Eval loss 7,Eval loss 8,Eval loss 9,Eval loss 10
0,L2_medoid,Ablation_1,8480,0.0001,23.302970111370087,42.50486743450165,35.51653629541397,30.759424149990082,28.184329390525818,26.681651532649994,25.437299489974976,24.377816081047058,23.741711914539337,23.198996543884277,22.851958334445953
1,L2_medoid,Ablation_2,15776,0.0001,38.17082417011261,44.388630747795105,42.32528269290924,40.55224823951721,38.866903424263,37.94683766365051,37.88383662700653,37.84719514846802,37.77843052148819,37.68329781293869,37.57649791240692
2,L2_medoid,QUANN_1,11696,0.0001,24.354605555534363,42.42334294319153,35.3885155916214,30.83283221721649,28.002219319343567,26.288260996341705,25.359941482543945,24.722458481788635,24.241157948970795,23.99508261680603,23.880624651908875
3,L2_medoid,Ablation_1,8480,0.0005,21.18644082546234,26.255343556404114,23.493087768554688,22.661934912204742,22.56224489212036,22.491339802742004,22.385414123535156,22.20832872390747,21.990208983421326,21.497451603412628,20.782922089099884
4,L2_medoid,Ablation_2,15776,0.0005,34.30019813776016,39.81532609462738,39.33416926860809,36.82496279478073,36.46935164928436,36.327725529670715,35.95131081342697,35.251209139823914,34.59803432226181,34.19909930229187,33.90210521221161
5,L2_medoid,QUANN_1,11696,0.0005,18.190251111984253,27.429246604442596,23.22158169746399,22.224454283714294,21.027828872203827,19.968175649642944,19.182575464248657,18.59956493973732,18.10667011141777,17.800801783800125,17.56006333231926
6,L2_medoid,Ablation_1,8480,0.001,19.563512086868286,24.477757930755615,22.936925649642944,21.835189282894135,20.55401521921158,20.029955506324768,19.64490520954132,19.402926295995712,19.27002802491188,19.248317390680313,19.143986105918884
7,L2_medoid,Ablation_2,15776,0.001,31.9699889421463,37.90289747714996,37.044829308986664,36.41877168416977,34.65554815530777,33.31287455558777,32.818761110305786,32.481315314769745,32.42762643098831,32.148381888866425,31.343740582466125
8,L2_medoid,QUANN_1,11696,0.001,18.171876579523087,24.357734739780426,20.87076649069786,19.008985936641693,18.037851482629776,17.817563891410828,17.62393045425415,17.452227234840393,17.2464559674263,17.33285164833069,17.23983758687973
9,L2_medoid,Ablation_1,8480,0.005,19.61289781332016,20.78244310617447,20.367195308208466,19.805236339569092,19.539864778518677,19.440962463617325,19.27955225110054,19.05371469259262,19.179337471723557,18.69904226064682,18.54031252861023
10,L2_medoid,Ablation_2,15776,0.005,33.07479202747345,40.44329249858856,38.32213217020035,38.140460789203644,36.2425337433815,34.87342518568039,34.31473392248154,33.70146346092224,33.04995149374008,32.55741369724274,31.956939578056335
