,Aggregator,Model,Parameters,Learning rate,Test loss,Eval loss 1,Eval loss 2,Eval loss 3,Eval loss 4,Eval loss 5,Eval loss 6,Eval loss 7,Eval loss 8,Eval loss 9,Eval loss 10
0,L2_medoid,Ablation_3,11696,0.0001,73.22193491458893,2046.7264804840088,940.5322666168213,559.0542006492615,371.8755645751953,260.73960399627686,191.69870448112488,143.16574335098267,110.80499303340912,89.07150876522064,74.56865334510803
1,L2_medoid,Ablation_3,11696,0.0005,39.171353220939636,191.12767386436462,78.55423510074615,53.29110884666443,45.28573489189148,45.73085272312164,41.30760192871094,38.09854698181152,41.058452010154724,43.85916209220886,40.375327348709106
2,L2_medoid,Ablation_3,11696,0.001,35.26208645105362,132.9831805229187,65.17371380329132,48.47373163700104,45.21224546432495,56.969730854034424,37.715587854385376,39.035560965538025,35.33631086349487,38.857800126075745,35.420826971530914
3,L2_medoid,Ablation_3,11696,0.005,26.67885410785675,52.067235350608826,42.67120885848999,37.569581270217896,33.72481346130371,31.122393369674683,29.38587325811386,29.558829128742218,28.573259711265564,27.808227062225342,27.197793185710907
4,L2_medoid,Ablation_3,11696,0.01,26.01790153980255,43.80093717575073,33.764024674892426,31.148830592632294,30.81997126340866,29.9019992351532,28.15301376581192,26.90400755405426,26.885661125183105,26.594260156154633,26.11629033088684
5,P2_mean,Ablation_3,11696,0.0001,41.20018810033798,1854.772232055664,807.1467323303223,448.09546184539795,271.77309799194336,174.9073531627655,117.32813239097595,82.76564943790436,61.36025023460388,47.49610078334808,38.9217574596405
6,P2_mean,Ablation_3,11696,0.0005,24.31710833311081,212.82343101501465,66.93017339706421,40.487143754959106,31.133543729782104,29.96119660139084,23.37509775161743,25.92463928461075,22.34753769636154,22.763652205467224,23.045394361019135
7,P2_mean,Ablation_3,11696,0.001,18.33662459254265,68.44536817073822,27.792549788951874,27.65795546770096,23.95854216814041,24.851176500320435,21.250452637672424,21.672388195991516,20.718397676944733,19.41932314634323,16.88912922143936
8,P2_mean,Ablation_3,11696,0.005,7.735052049160004,32.283058643341064,25.816251695156097,21.866307377815247,21.049054324626923,20.726892173290253,18.356147676706314,13.081823468208313,16.231120318174362,10.694971174001694,7.348120108246803
9,P2_mean,Ablation_3,11696,0.01,7.009597733616829,23.574637472629547,23.44222629070282,18.466474056243896,16.15413498878479,14.095322161912918,12.632109969854355,10.672335729002953,8.57411390542984,7.440561234951019,6.788295567035675
10,midpoint,Ablation_3,11696,0.0001,82.61088919639587,2123.4680709838867,907.0989151000977,529.9942197799683,354.6990671157837,256.275098323822,192.39476490020752,149.00445675849915,117.96023511886597,96.1792266368866,81.5813022851944
11,midpoint,Ablation_3,11696,0.0005,39.20734918117523,240.7238574028015,94.09280753135681,60.42636823654175,51.1018328666687,52.29145860671997,48.21543228626251,43.87329339981079,44.716859459877014,43.156739473342896,41.117024660110474
12,midpoint,Ablation_3,11696,0.001,38.972267389297485,123.76320147514343,69.64187049865723,50.97580182552338,52.01147377490997,47.656981348991394,42.46730291843414,44.862035632133484,40.053259432315826,39.43975043296814,40.43898403644562
